pair_id,question_id,table_id,label
73,14,tepsr_wc310,not_relevant
74,14,tet00038,not_relevant
75,14,ten00139,relevant
76,15,road_eqs_carage,highly_relevant
77,15,tespn250,not_relevant
78,15,lfst_dpw_03,not_relevant
79,15,tespn270,not_relevant
80,15,tipslm70,not_relevant
81,16,cens_91dame,relevant
82,16,cens_01ndcomf,relevant
83,16,sdg_06_10,highly_relevant
84,16,tessi294,highly_relevant
85,16,tessi293,highly_relevant
86,17,icw_pov_03,highly_relevant
87,17,earn_mw_avgr1,relevant
88,17,earn_mw_avgr2,relevant
89,17,edat_lfso_00t2,not_relevant
90,17,tps00181,relevant
91,18,tps00197,highly_relevant
92,18,tps00066,not_relevant
93,18,enps_edat_lfse4,relevant
94,18,ilc_igtp03,not_relevant
95,18,tesem240,relevant
96,19,cens_91dame,not_relevant
97,19,cens_01ndcomf,relevant
98,19,isoc_sk_cskl_i$dv_266,not_relevant
99,19,tessi293,highly_relevant
100,19,iss_18bfbck,not_relevant
101,20,tag00064,highly_relevant
102,20,enpe_apro_cpnh1,relevant
103,20,tag00103,relevant
104,20,enps_apro_cpnh1,not_relevant
105,20,med_ag2,not_relevant
106,21,trng_nfe13,highly_relevant
107,21,trng_cvt_22n1,not_relevant
107,21,trng_cvt_22n1,not_relevant
108,21,trng_cvt_21n1,not_relevant
109,21,edat_lfse_20$dv_1101,not_relevant
109,21,edat_lfse_20$dv_1101,not_relevant
110,21,trng_cvt_24n1,relevant
111,22,enps_env_ww_con,highly_relevant
112,22,ten00030,relevant
113,22,sdg_06_20,relevant
114,22,med_en47,highly_relevant
115,22,med_en46,relevant
116,23,rail_tf_ns15_sk,highly_relevant
117,23,rail_tf_ns20_sk,relevant
118,23,rail_tf_ns10_sk,relevant
119,23,rail_tf_ns_sk,relevant
120,23,rail_tf_ns15_li,relevant
121,24,tin00196,highly_relevant
122,24,tin00195,relevant
123,24,sdg_10_20,not_relevant
124,24,gbv_any_cnq,not_relevant
125,24,gbv_ipv_cnq,not_relevant
125,24,gbv_ipv_cnq,not_relevant
126,25,ilc_lvhd01,not_relevant
127,25,tesov092,relevant
128,25,tespn100,relevant
129,25,tps00151,relevant
130,25,tesem210,relevant
131,26,ilc_igtp04,highly_relevant
132,26,hsw_aw_ws2,not_relevant
133,26,tessi121,relevant
134,26,ilc_igtp03,relevant
135,26,ilc_li22$dv_2664,relevant
136,27,educ_iste,highly_relevant
136,27,educ_iste,highly_relevant
137,27,educ_ipart$dv_437,relevant
138,27,educ_fiaid,not_relevant
138,27,educ_fiaid,not_relevant
139,27,edat_lfso_00t4,not_relevant
140,27,med_ps24,not_relevant
141,28,tipslc20,highly_relevant
142,28,tespn010,relevant
143,28,tespn110,relevant
144,28,ilc_li22$dv_2664,relevant
145,28,tessi220,relevant
146,29,tet00065,highly_relevant
147,29,tet00071,relevant
148,29,tag00123,not_relevant
149,29,sbs_pen_7b1,not_relevant
150,29,tet00066,relevant
151,30,earn_nt_lowwtrp,not_relevant
152,30,tessi176,highly_relevant
153,30,tessi178,highly_relevant
154,30,tessi177,highly_relevant
155,30,tessi175,relevant
156,31,mar_qg_qm_ewhd,relevant
157,31,mar_qg_qm_ewhk,relevant
158,31,mar_qg_qm_ewht,relevant
159,31,mar_qg_qm_ewhg,relevant
160,31,mar_qg_qm_pwhc,not_relevant
161,32,tipsna30,highly_relevant
162,32,teiet010,not_relevant
162,32,teiet010,not_relevant
163,32,teiet030,relevant
164,32,teiet060,relevant
165,32,teiet020,not_relevant
166,33,tet00028,highly_relevant
167,33,tet00001,relevant
168,33,prc_rem_cs,not_relevant
169,33,hlth_cd_aperrto,not_relevant
169,33,hlth_cd_aperrto,not_relevant
170,33,lan_settl,not_relevant
171,34,lfsi_jhh_a,relevant
172,34,tps00181,relevant
173,34,med_ps423,relevant
174,34,gbv_any_cnq,not_relevant
175,34,gbv_ipv_cnq,not_relevant
176,35,tespn090,relevant
177,35,ilc_pns5,not_relevant
178,35,tespn020,highly_relevant
179,35,tessi030,not_relevant
180,35,sdg_10_30,not_relevant
181,36,teiis120,not_relevant
182,36,teiis110,not_relevant
183,36,teiis140,not_relevant
184,36,teiis130,not_relevant
185,36,road_go_na_ru3g$dv_1582,relevant
186,37,hlth_rs_grd2$dv_2825,highly_relevant
187,37,hlth_rs_prs2$dv_2824,relevant
187,37,hlth_rs_prs2$dv_2824,relevant
188,37,med_ps23,not_relevant
189,37,med_ps25,not_relevant
190,37,rd_p_sen,not_relevant
191,38,iss_18bfmmag,highly_relevant
191,38,iss_18bfmmag,highly_relevant
192,38,egi_so1,relevant
193,38,tec00106,relevant
194,38,gbv_st_cnq,not_relevant
195,38,iss_21gvcms,not_relevant
196,39,egr_mne,highly_relevant
197,39,egr_emp,not_relevant
198,39,egr_mne_n2sc,relevant
199,39,egr_conc,not_relevant
200,39,bs_bs7_04,relevant
201,40,avia_eq_arc_age,highly_relevant
202,40,avia_eq_arc_agereg,highly_relevant
203,40,med_air4,relevant
204,40,tepsr_sp210,not_relevant
205,40,ilc_pnp2$dv_1988,not_relevant
206,41,irt_h_mr3_q,highly_relevant
207,41,irt_h_mr3_a,relevant
208,41,teimf040,relevant
209,41,irt_st_a,relevant
210,41,irt_h_ddmr_q,relevant
211,42,teicp120,highly_relevant
212,42,hsw_ind,not_relevant
213,42,teicp000,relevant
214,42,teicp280,relevant
215,42,iss_18bfmove,not_relevant
216,43,rd_p_sen,not_relevant
217,43,tps00181,not_relevant
218,43,lfsi_jhh_a,not_relevant
219,43,isoc_sk_cskl_i$dv_266,not_relevant
220,43,bs_bs4_06,not_relevant
221,44,earn_gr_gpgr2ag,highly_relevant
222,44,earn_gr_gpgr2ct,relevant
223,44,earn_gr_gpgr2wt,relevant
224,44,hsw_aw_ws2,not_relevant
225,44,hsw_ij_svsha,not_relevant
226,45,med_ps32,highly_relevant
226,45,med_ps32,highly_relevant
227,45,enps_ilc_secure,highly_relevant
228,45,isoc_ci_cm_h$dv_507,not_relevant
229,45,isoc_ci_in_h$dv_512,not_relevant
230,45,enps_ilc_sanit,not_relevant
231,46,tps00099,highly_relevant
232,46,tps00102,relevant
233,46,tps00101,relevant
233,46,tps00101,relevant
234,46,gov_eu_nfa,not_relevant
235,46,tps00100,highly_relevant
236,47,med_rd2,relevant
236,47,med_rd2,relevant
237,47,enps_road_eqs_car,relevant
238,47,med_en3,relevant
239,47,road_eqr_tracm,relevant
239,47,road_eqr_tracm,relevant
240,47,road_eqs_roaene_h,highly_relevant
241,48,mar_qg_qm_ewhd,highly_relevant
242,48,mar_qg_qm_ewhk,relevant
242,48,mar_qg_qm_ewhk,relevant
243,48,mar_qg_qm_ewht,relevant
244,48,mar_qg_qm_ewhg,relevant
245,48,mar_qg_qm_pwhc,relevant
246,49,ilc_mdho02c,highly_relevant
247,49,tessi293,relevant
248,49,ilc_mdho03c,relevant
249,49,hlth_ehis_al1e$dv_1142,not_relevant
250,49,sdg_06_10,relevant
251,50,enps_env_ww_con,highly_relevant
252,50,med_en47,highly_relevant
253,50,sdg_06_20,relevant
254,50,med_en44,relevant
255,50,med_en21,relevant
256,51,tipsii50,highly_relevant
257,51,med_ec0,not_relevant
258,51,tipsii40,highly_relevant
259,51,tipsii10,relevant
260,51,rd_p_sen,not_relevant
261,52,rail_tf_ns10_dk,highly_relevant
262,52,rail_tf_ns_dk,relevant
263,52,rail_tf_ns15_dk,relevant
264,52,rail_tf_ns20_dk,relevant
265,52,rail_tf_ns20_el,relevant
266,53,mar_mg_am_pvh,highly_relevant
266,53,mar_mg_am_pvh,not_relevant
267,53,mar_qg_qm_pvh,relevant
267,53,mar_qg_qm_pvh,relevant
268,53,mar_qg_qm_pwhc,not_relevant
269,53,mar_mg_am_cvh,relevant
270,53,mar_qg_qm_ewhk,relevant
271,54,med_ps412,highly_relevant
272,54,tipslm15,relevant
273,54,tepsr_wc130,relevant
274,54,gbv_any_cnq,not_relevant
275,54,gbv_ipv_cnq,not_relevant
276,55,teiis240,relevant
276,55,teiis240,not_relevant
277,55,teiis270,relevant
278,55,teiis260,relevant
279,55,teiis250,relevant
280,55,enpe_sts_trtu1,highly_relevant
281,56,tran_sf_marves,not_relevant
282,56,iww_ac_nbac,not_relevant
283,56,ttr00007,not_relevant
284,56,rd_p_sen,not_relevant
285,56,iww_ec_ent_c,relevant
286,57,ilc_sbjp05,highly_relevant
287,57,isoc_ci_in_h$dv_512,not_relevant
288,57,tps00181,not_relevant
289,57,isoc_sk_cskl_i$dv_266,not_relevant
290,57,isoc_ci_cm_h$dv_507,not_relevant
291,58,tps00204,highly_relevant
291,58,tps00204,highly_relevant
292,58,med_ps12,relevant
293,58,enps_demo_gind,relevant
294,58,tps00029,relevant
295,58,tps00019,relevant
296,59,cei_wm010,highly_relevant
297,59,ten00138,relevant
298,59,cei_pc032,relevant
299,59,cei_wm011,relevant
300,59,ten00110,relevant
301,60,iss_21covt,highly_relevant
302,60,bs_bs2_00,not_relevant
303,60,bs_bs6_00,relevant
304,60,tin00110,relevant
305,60,tin00111,not_relevant
306,61,tai08,highly_relevant
307,61,med_en2,relevant
308,61,enps_env_air_emis,relevant
309,61,env_air_no2,relevant
310,61,tai07,relevant
311,62,teimf250,highly_relevant
312,62,tipser13,relevant
313,62,tipser11,not_relevant
314,62,tipser12,relevant
315,62,tipser10,relevant
316,63,tipspc15,relevant
317,63,tipspc13,highly_relevant
318,63,tipspc25,highly_relevant
319,63,tipspc23,highly_relevant
320,63,tipspc10,highly_relevant
321,64,cei_pc031,relevant
322,64,cei_pc040,relevant
323,64,cei_pc050,relevant
324,64,ten00110,highly_relevant
325,64,sdg_12_51,relevant
326,65,educ_uoe_perp05,highly_relevant
327,65,educ_iste,relevant
327,65,educ_iste,relevant
328,65,educ_fiaid,not_relevant
329,65,educ_uoe_perp03,relevant
330,65,educ_uoe_enra07,not_relevant
331,66,qoe_ewcs_7b2,highly_relevant
332,66,eq_pop03,not_relevant
333,66,tsc00025,not_relevant
334,66,sdg_04_60,not_relevant
335,66,enps_edat_lfse4,not_relevant
336,67,tespm020,highly_relevant
337,67,tessi014,highly_relevant
338,67,tessi121,relevant
339,67,tesov190,not_relevant
340,67,rd_p_sen,not_relevant
341,68,med_rd6,relevant
342,68,mar_qg_qm_ewht,not_relevant
343,68,road_go_na_ru3g$dv_1582,relevant
344,68,road_go_na_rl3g$dv_1581,relevant
345,68,road_tert_go,highly_relevant
346,69,gbv_dv_age,highly_relevant
347,69,gbv_any_cnq,relevant
348,69,gbv_npv_cnq,relevant
349,69,gbv_ch_age,relevant
350,69,gbv_any_age,relevant
351,70,mar_qg_qm_ewhk,relevant
352,70,mar_qg_qm_pwhc,relevant
353,70,mar_qg_qm_pwh,not_relevant
354,70,mar_qg_qm_pwhl,relevant
355,70,mar_qg_qm_pwhr,not_relevant
356,71,icw_sr_15,highly_relevant
357,71,icw_sr_16,not_relevant
358,71,icw_sr_13,highly_relevant
359,71,icw_sr_12,relevant
360,71,icw_sr_03,relevant
361,72,teiet215,not_relevant
362,72,tag00056,relevant
363,72,iss_18bfmove,not_relevant
364,72,gov_eu_nfa,not_relevant
365,72,env_ac_egss3,relevant
366,73,gbv_any_cnq,not_relevant
367,73,gbv_ipv_cnq,not_relevant
368,73,gbv_npv_cnq,not_relevant
369,73,road_eqs_trams,highly_relevant
370,73,cens_91dame,not_relevant
371,74,trng_aes_186,relevant
372,74,sdg_04_60,relevant
373,74,trng_aes_187,highly_relevant
374,74,lfst_dpw_06,not_relevant
375,74,isoc_cisci_f$dv_536,not_relevant
376,75,road_go_ca_d_c,highly_relevant
377,75,road_tert_go,relevant
378,75,med_rd6,relevant
379,75,road_go_ca_d_ha,highly_relevant
379,75,road_go_ca_d_ha,highly_relevant
380,75,road_go_ca_c,relevant
381,76,ipr_dfa_tot,highly_relevant
382,76,met_ipr_dfa,relevant
383,76,met_ipr_dr,relevant
384,76,ipr_dr_tot,highly_relevant
385,76,met_ipr_dfapop,relevant
386,77,demo_fabortind,highly_relevant
387,77,mar_qg_qm_pwhc,not_relevant
388,77,mar_qg_qm_pwh,not_relevant
389,77,mar_qg_qm_pwhl,not_relevant
390,77,mar_qg_qm_pwhr,not_relevant
391,78,enps_rail_pa,highly_relevant
392,78,med_ra5,highly_relevant
393,78,rail_tf_ns_ee,relevant
394,78,rail_tf_ns15_mk,relevant
395,78,rail_tf_ns10_mk,relevant
396,79,orch_olives3,highly_relevant
397,79,orch_olives2,highly_relevant
398,79,orch_olives1,relevant
399,79,orch_total,relevant
400,79,orch_grapes3,relevant
401,80,gbv_awr_leg,highly_relevant
402,80,gbv_awr_serv,highly_relevant
403,80,med_ps43,not_relevant
403,80,med_ps43,not_relevant
404,80,med_ps423,not_relevant
405,80,med_ps24,not_relevant
406,81,med_air2,highly_relevant
407,81,road_if_bsurfa,not_relevant
408,81,gbv_any_cnq,not_relevant
409,81,gbv_ipv_cnq,not_relevant
410,81,gbv_npv_cnq,not_relevant
411,82,rail_tf_ns15_cz,highly_relevant
412,82,rail_tf_ns20_cz,relevant
413,82,rail_tf_ns20_el,relevant
414,82,rail_tf_ns15_mk,relevant
415,82,rail_tf_ns15_li,relevant
416,83,hlth_cd_aperrto,relevant
417,83,bd_size$dv_1502,not_relevant
418,83,crim_hist,relevant
419,83,eq_mor06,highly_relevant
420,83,crim_hom_city,relevant
421,84,sdg_16_20,highly_relevant
421,84,sdg_16_20,highly_relevant
422,84,gbv_any_cnq,not_relevant
423,84,gbv_ipv_cnq,not_relevant
424,84,gbv_npv_cnq,relevant
424,84,gbv_npv_cnq,relevant
425,84,gbv_ch_rp,not_relevant
426,85,tps00199,highly_relevant
427,85,gbv_any_cnq,not_relevant
427,85,gbv_any_cnq,not_relevant
428,85,gbv_ipv_cnq,not_relevant
429,85,gbv_npv_cnq,not_relevant
430,85,demo_r_find3$dv_1541,relevant
431,86,gbv_ipv_cnq,relevant
432,86,gbv_ipv_ed,highly_relevant
433,86,gbv_npv_cnq,relevant
434,86,gbv_npv_ed,relevant
435,86,gbv_any_cnq,relevant
436,87,med_rd5,highly_relevant
437,87,enps_road_eqs_car,relevant
438,87,med_rd2,relevant
439,87,tran_im_urail,not_relevant
440,87,med_rd4,relevant
441,88,enpe_isoc_ci_ifp_fu,relevant
442,88,tin00092,highly_relevant
443,88,tin00091,highly_relevant
444,88,tin00102,relevant
445,88,isoc_ci_cm_h$dv_507,relevant
446,89,bs_bs4_06,highly_relevant
447,89,bs_bs7_00,not_relevant
448,89,bs_bs8_00,relevant
449,89,bs_bs13_04,relevant
450,89,bs_bs16_04,not_relevant
451,90,med_ps12,highly_relevant
452,90,tps00014,relevant
453,90,enps_demo_nind,highly_relevant
454,90,tps00017,not_relevant
454,90,tps00017,not_relevant
455,90,demo_r_find3$dv_1541,not_relevant
456,91,med_ps22,relevant
457,91,med_ps23,relevant
457,91,med_ps23,not_relevant
458,91,educ_fiaid,not_relevant
459,91,med_ps422,not_relevant
460,91,med_ps24,relevant
461,92,ipr_da_tot,relevant
462,92,ipr_da_typ,highly_relevant
463,92,ipr_da_pop,relevant
464,92,met_ipr_da,relevant
465,92,ipr_da_gdp,relevant
466,93,for_profnc,not_relevant
467,93,tipsun30,not_relevant
468,93,sdg_15_42,highly_relevant
469,93,teimf200,not_relevant
470,93,tec00033,not_relevant
471,94,crim_hom_city,relevant
472,94,crim_hist,highly_relevant
473,94,gbv_ch_rp,not_relevant
474,94,gbv_st_rp,not_relevant
475,94,gbv_ipv_rp,not_relevant
476,95,egi_va2,highly_relevant
477,95,egi_em3,not_relevant
478,95,tet00037,relevant
479,95,med_ec5,relevant
480,95,tet00013,not_relevant
481,96,med_to12,relevant
482,96,enpe_tour_occ_arnat,highly_relevant
483,96,tin00172,relevant
484,96,tin00175,relevant
485,96,tin00174,relevant
485,96,tin00174,relevant
486,97,pipe_if_capac,highly_relevant
487,97,pipe_if_lenght,relevant
488,97,rd_p_sen,not_relevant
489,97,iww_ec_ent_c,not_relevant
490,97,med_ma4,not_relevant
491,98,ttr00016,highly_relevant
492,98,rail_pa_nbpass,not_relevant
493,98,ttr00012,relevant
494,98,enps_avia_pa,relevant
495,98,road_tf_buscoa,not_relevant
496,99,eq_pop03,highly_relevant
497,99,lfsi_jhh_a,not_relevant
498,99,tipslm80,not_relevant
499,99,lfst_r_edatd_22,not_relevant
500,99,tesem140,not_relevant
501,1,earn_mw_avgr1,not_relevant
502,1,med_ps24,not_relevant
503,1,gbv_any_cnq,not_relevant
503,1,gbv_any_cnq,not_relevant
504,1,gbv_ipv_cnq,not_relevant
505,2,gbv_ch_rp,not_relevant
506,2,tipsna51,not_relevant
507,2,mar_qg_qm_pwhr,not_relevant
508,2,lan_settl,not_relevant
508,2,lan_settl,not_relevant
509,3,tag00123,not_relevant
510,3,sdg_06_20,not_relevant
511,3,tai09,not_relevant
512,4,med_air4,relevant
513,4,tran_im_uiww,not_relevant
513,4,tran_im_uiww,not_relevant
514,4,mar_qg_qm_ewht,not_relevant
515,5,teina402_r2,relevant
516,6,edat_lfso_00t5,not_relevant
517,6,bs_bs4_06,not_relevant
518,6,trng_nfe18,not_relevant
519,6,migr_eilpop,not_relevant
520,6,educ_uoe_fini05,not_relevant
521,7,gbv_any_cnq,not_relevant
522,7,gbv_ipv_cnq,not_relevant
523,7,gbv_npv_cnq,not_relevant
524,7,gov_eu_nfa,not_relevant
525,7,med_ag33,not_relevant
526,8,enps_road_eqs_car,relevant
527,8,med_rd2,relevant
528,8,med_rd5,relevant
529,9,gbv_st_perp,not_relevant
530,9,gbv_npv_perp,relevant
531,10,gbv_any_cnq,not_relevant
532,10,gbv_ipv_cnq,not_relevant
533,10,gbv_npv_cnq,not_relevant
534,10,road_tf_buscoa,relevant
535,10,rail_ac_dnggood,not_relevant
536,11,lfso_10fvaredu$dv_609,not_relevant
537,11,ilc_scp07$dv_1064,not_relevant
538,11,hlth_ehis_al1e$dv_1142,not_relevant
539,11,teimf100,not_relevant
540,11,ilc_scp12$dv_2746,not_relevant
541,12,lfsi_jhh_a,not_relevant
542,12,iss_21gvcms,not_relevant
543,12,mar_qg_qm_pwhc,not_relevant
544,12,mar_qg_qm_pwhl,not_relevant
545,12,mar_qg_qm_pvh,not_relevant
546,13,gbv_any_cnq,not_relevant
547,13,gbv_ipv_cnq,not_relevant
547,13,gbv_ipv_cnq,not_relevant
548,13,gbv_npv_cnq,not_relevant
549,13,edat_lfso_00t2,not_relevant
550,13,educ_uoe_enrt05,not_relevant
551,14,teilm100,not_relevant
552,14,tec00021,relevant
553,14,iss_18bfbck,not_relevant
554,15,mar_sg_am_cv,not_relevant
555,15,mar_mg_am_cvh,not_relevant
556,15,mar_qg_qm_pvh,not_relevant
557,15,tus_00travel,not_relevant
558,16,hlth_ehis_al3e$dv_450,not_relevant
559,16,hlth_ehis_al1e$dv_1142,not_relevant
560,16,ilc_scp07$dv_1064,not_relevant
561,17,lfst_dpw_06,not_relevant
562,17,tesov190,not_relevant
563,17,tessi121,relevant
563,17,tessi121,not_relevant
564,17,tour_ce_oasc,not_relevant
565,17,rail_ac_catnmbr,not_relevant
566,18,earn_ses_pub1i,not_relevant
567,18,lfst_dpw_01,not_relevant
568,19,isoc_ci_cm_h$dv_507,not_relevant
569,19,med_ps32,not_relevant
570,19,tipsun30,not_relevant
571,19,enpe_isoc_ci_ifp_fu,not_relevant
572,19,tet00037,not_relevant
573,21,trng_nfe7,relevant
574,21,gov_eu_nfa,not_relevant
575,21,mar_qg_qm_ewhg,not_relevant
576,22,med_ps32,relevant
577,22,enps_ilc_secure,not_relevant
578,22,enps_ilc_sanit,relevant
579,22,isoc_ci_cm_h$dv_507,not_relevant
580,22,med_en21,not_relevant
581,24,enps_tour_occ_ninat,not_relevant
582,24,enpe_mon_res,not_relevant
583,24,tin00172,not_relevant
584,25,tespn120,relevant
585,25,tespn010,relevant
586,25,tespn110,relevant
587,26,lfsi_jhh_a,not_relevant
588,26,tessi014,relevant
589,27,med_ps22,not_relevant
590,27,trng_nfe5,not_relevant
591,28,tespm060,relevant
592,28,tesov092,relevant
593,28,tessi125,relevant
594,29,teiet160,not_relevant
595,29,teiet060,relevant
596,29,teiet010,relevant
597,29,teiet030,relevant
598,29,teiet130,not_relevant
599,30,tesov190,relevant
600,30,rd_p_sen,not_relevant
601,30,gbv_ch_rp,not_relevant
601,30,gbv_ch_rp,not_relevant
602,30,tespn250,not_relevant
603,30,tespn270,not_relevant
604,31,mar_qg_qm_cwh,highly_relevant
605,32,tet00001,not_relevant
606,32,egi_tr1,not_relevant
607,32,egr_conc,not_relevant
608,32,tet00028,relevant
609,32,hsw_aw_ws2,not_relevant
610,33,trng_aes_186,not_relevant
611,33,iss_18bfbck,not_relevant
612,34,mar_qg_qm_ewhk,not_relevant
612,34,mar_qg_qm_ewhk,not_relevant
613,34,mar_qg_qm_pwhr,not_relevant
614,34,ilc_scp12$dv_2746,not_relevant
615,34,ilc_scp10$dv_2744,not_relevant
616,34,gbv_ch_rp,not_relevant
617,35,rd_p_sen,not_relevant
618,35,gov_eu_nfa,not_relevant
619,35,gbv_any_cnq,not_relevant
620,35,gbv_ipv_cnq,not_relevant
621,35,gbv_npv_cnq,not_relevant
622,36,isoc_sk_cskl_i$dv_266,not_relevant
623,36,gbv_any_cnq,not_relevant
624,36,gbv_ipv_cnq,not_relevant
625,36,gbv_npv_cnq,not_relevant
626,36,ilc_lvhd06,not_relevant
627,37,hlth_hc_phys,not_relevant
628,37,ilc_hch15,not_relevant
628,37,ilc_hch15,not_relevant
629,38,ert_h_eur_a,not_relevant
630,38,med_en24,not_relevant
631,38,isoc_sk_oja2,not_relevant
632,38,med_air4,not_relevant
633,38,mar_qg_qm_ewhd,not_relevant
634,39,tet00038,not_relevant
634,39,tet00038,not_relevant
635,39,prc_rem_gdp,not_relevant
636,39,mar_qg_qm_ewht,not_relevant
637,40,mar_qg_qm_pvh,not_relevant
637,40,mar_qg_qm_pvh,not_relevant
638,40,tespn270,not_relevant
639,40,mar_mg_am_cvh,not_relevant
640,40,mar_sg_am_cv,not_relevant
641,41,mar_qg_qm_cwh,not_relevant
642,41,mar_qg_qm_pwhr,not_relevant
643,41,mar_qg_qm_pwh,not_relevant
644,41,mar_qg_qm_pwhl,not_relevant
645,41,mar_qg_qm_pwhc,not_relevant
646,42,teiet150,not_relevant
647,42,teiet050,not_relevant
648,42,teiet210,not_relevant
648,42,teiet210,not_relevant
649,42,teiet215,not_relevant
650,42,teiet010,not_relevant
651,43,sdg_11_20,not_relevant
652,44,tespn250,relevant
653,44,tespn270,relevant
654,44,lfsi_jhh_a,not_relevant
655,45,bs_bs14_04,not_relevant
656,45,med_ps414,not_relevant
657,45,ilc_lvho50d,not_relevant
658,45,med_ec3,not_relevant
659,45,med_ec0,not_relevant
660,46,mar_mg_aa_cwh,not_relevant
661,46,med_ps26,not_relevant
662,46,tepsr_wc310,not_relevant
663,46,cei_gsr011,not_relevant
664,46,sdg_10_10,not_relevant
665,48,mar_qg_qm_cwh,relevant
666,49,mar_qg_qm_cwh,not_relevant
667,49,tps00181,not_relevant
668,49,med_en24,not_relevant
669,49,lfsi_jhh_a,not_relevant
670,49,ilc_mdes03$dv_2702,not_relevant
671,50,med_ps32,highly_relevant
671,50,med_ps32,highly_relevant
672,50,tin00127,not_relevant
673,51,med_ec4,not_relevant
674,51,med_ec3,not_relevant
675,52,mar_qg_qm_pvh,not_relevant
676,53,tran_im_uroad,not_relevant
677,54,tqoe3b4,not_relevant
678,54,gbv_npv_cnq,not_relevant
679,55,enpe_sts_incopr,relevant
680,55,mar_qg_qm_pvh,not_relevant
681,55,sts_tot_prod_a,not_relevant
682,55,teiis500,not_relevant
683,56,ilc_lvps20,not_relevant
684,56,tespm020,not_relevant
685,56,enps_nrg_bal_c,not_relevant
686,56,educ_fiexpc,not_relevant
687,57,tgs00052,not_relevant
688,57,tin00127,not_relevant
689,57,isoc_ci_ac_i$dv_1122,not_relevant
690,57,isoc_r_cux_i,not_relevant
691,58,tps00199,highly_relevant
692,59,mar_qg_qm_ewhk,not_relevant
693,59,tran_im_uroad,not_relevant
694,59,gbv_any_cnq,not_relevant
695,59,gbv_ipv_cnq,not_relevant
696,59,gbv_npv_cnq,not_relevant
697,60,ilc_scp07$dv_1064,not_relevant
698,60,hlth_ehis_al3i$dv_461,not_relevant
699,60,hlth_ehis_al3e$dv_450,not_relevant
700,60,ilc_scp12$dv_2746,not_relevant
701,60,ilc_scp10$dv_2744,not_relevant
702,61,cei_gsr011,relevant
703,61,sdg_02_40,not_relevant
704,61,teiis080,not_relevant
705,63,rd_p_sen,not_relevant
706,63,gbv_any_cnq,not_relevant
707,63,gbv_ipv_cnq,not_relevant
708,63,gbv_npv_cnq,not_relevant
709,63,tran_sf_raildg,not_relevant
710,64,gbv_ch_rp,not_relevant
711,64,mar_qg_qm_ewhk,not_relevant
711,64,mar_qg_qm_ewhk,not_relevant
712,64,ilc_scp12$dv_2746,not_relevant
713,64,ilc_scp10$dv_2744,not_relevant
714,64,gbv_any_cnq,not_relevant
