question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
57,isoc_ci_hm,migr_eirfs,isoc_ec_inb21,isoc_ec_inb,isoc_ec_inb$dv_540,isoc_eco_ic,isoc_sk_how_i,isoc_eb_ain2,urb_clivcon,isoc_ciegi_rtx$dv_516
58,med_ps12,urb_lfermor,urb_cfermor,isoc_cisci_prv,migr_dubri,migr_dubro,migr_dubti,migr_dubto,migr_dubdi,migr_dubdo
59,inn_cis8_prod,inn_cis9_prod,cens_01nadnac,nrg_bal_s,nrg_bal_c,nrg_bal_sd,inn_cis9_noin,isoc_eco_dd,sts_inpi_m,iww_go_atyca
60,ef_poirrig,isoc_cisce_icn2,gov_10q_ggnfa,isoc_e_cvdn2,bd_salge1_size_r,hlth_cd_acdr2,hlth_cd_ycdr2,hlth_co_hosdayt,hlth_co_disch1m,hlth_co_disch1t
61,urb_percep,cens_01nadnac,inn_cis9_noin,env_air_gge,env_ac_aigg_q,env_air_gge$dv_447,inn_cis7_sucmet,env_air_emis$dv_446,env_air_emis,tai08
62,pat_ep_ripc,mips_sa,met_pat_epipc,pat_ep_nipc,ert_eff_ic_q,urt_pat_epipc,pat_ep_npct,ert_eff_ic_m,ei_mfef_m,teimf250
63,naidsq_10_f_bs,bop_euins6_q,bop_fdi6_inc,bop_euins6_m,bop_euins6_a,bop_its6_det,bop_its6_tot,inn_cis9_noin,mips_sa,nasa_10_f_tr
64,gov_10a_exp,sbs_na_3b_tr,isoc_cisci_sp,isoc_cisci_prv,isoc_ciegi_rtx,urt_pat_epipc,pat_ep_nipc,gov_10q_ggnfa,env_ac_exp1r2,met_pat_epipc
65,isoc_iiot_use,educ_regind,lfsa_eseged,isoc_cisci_sp,educ_fipubin,isoc_ciegi_rtx,isoc_cisci_sp20,isoc_cisci_prv20,isoc_sk_edic_i21,educ_iste
66,isoc_cisci_ip20,isoc_cisci_pb,isoc_cisci_ip,isoc_sk_cskl_i,isoc_sk_iskl_i,isoc_cisci_prv,isoc_cisci_prv20,isoc_ec_inb,isoc_ciegi_rtx,isoc_iiot_use
67,isoc_ciegi_rtx,tespm020,urb_clivcon,isoc_cisci_sp,isoc_cisci_sp20,isoc_cisci_prv20,isoc_cisci_prv,hbs_str_t224,ilc_mdes03,ilc_mddu05
68,sts_setu_q,sts_setu_a,rail_go_contwgt,rail_go_itu,mar_go_am_el,mar_go_am_si,mar_go_am_de,rail_go_contold,mar_go_am_mt,rail_go_contnbr
69,sbs_sc_ovw,road_go_ta_nace,demo_r_pjanind3,prc_hicp_fp,demo_r_pjanind2,inn_cis9_prod,inn_cis8_prod,gbv_ipv_comm,gbv_shw_comm,gbv_awr_serv
70,isoc_cisci_prv,isoc_cisci_prv20,isoc_ciegi_rtx,isoc_cisci_sp,isoc_cisci_sp20,isoc_sk_dskl_i,isoc_ec_ibuy,isoc_ci_ifp_iu,isoc_ci_ifp_fu,isoc_ci_ac_i
71,gov_10q_ggnfa,isoc_ciegi_rtx,isoc_cisci_prv,fats_g1b_08,met_bd_en2,met_bd_hgn2,isoc_cisce_ran2,isoc_cisci_prv20,fats_activ,fats_g1a_08
72,inn_cis9_prod,inn_cis8_prod,inn_cis9_ecodr,fats_g1a_08,fats_out3,fats_g1b_08,sbs_na_3b_tr,rd_e_berdcostr2,met_pat_epipc,isoc_e_cvdn2
73,urb_percep,iss_11sbbar,sts_inpr_m,isoc_iw_imp,sts_inpr_q,prc_hicp_fp,prc_hicp_inw,prc_hicp_aind,prc_hicp_cmon,prc_hicp_midx
74,isoc_cisci_prv,isoc_sk_cskl_i,isoc_cisci_prv20,isoc_cisci_pb,isoc_ec_inb,isoc_ciegi_rtx,isoc_cisci_ip20,isoc_cisce_ran2,isoc_iiot_use,isoc_sk_how_i
75,road_go_tq_tott,mar_go_qm_it,cens_01nsres,sts_inpr_m,sts_setu_q,road_go_iq_utt,sts_inpi_m,sts_setu_a,road_go_iq_ltt,road_go_ta_tott
76,isoc_iw_imp,educ_uoe_enrs10,educ_uoe_grad10,educ_uoe_enrt03,educ_uoe_enra30,educ_uoe_grad03,educ_uoe_grad02,educ_uoe_enra03,educ_uoe_enrt04,educ_uoe_mobs04
77,fats_g1b_08,fats_ctrl,isoc_sk_edic_i21,isoc_cisci_prv20,isoc_cisci_prv,gbv_npv_cnq,gbv_any_cnq,gbv_ipv_cnq,inn_cis6_prod,migr_dubri
78,urb_percep,isoc_ec_ibgs,prc_hicp_cind,prc_hicp_manr,prc_hicp_mmor,prc_hicp_cann,prc_hicp_midx,prc_hicp_cmon,prc_hicp_mv12r,prc_hicp_fp
79,lan_lcv_ovw,orch_olives2,orch_olives3,orch_apples3,orch_apples2,ef_lus_allcrops,prc_dap12,prc_dap13,prc_dap14,prc_dap15
80,isoc_sk_cskl_i,sbs_sc_ovw,isoc_eid_ieid,demo_r_pjanind3,bop_fdi6_pos,bop_fdi6_inc,bop_fdi6_flow,isoc_cisci_pb,demo_r_find3,demo_r_pjanind2
81,isoc_iw_ap,isoc_ec_iprb,isoc_ciegi_rtx,isoc_iiot_use,hsw_ij_cln,avia_gor_de,sts_inpi_m,sts_inpi_q,sts_inpi_a,isoc_cisci_sp
82,rail_tf_ns15_cz,rail_tf_ns10_cz,rail_tf_ns_cz,rail_tf_ns20_cz,rail_tf_ns15_de,fats_g1a_08,urb_percep,rail_tf_ns20_fr,isoc_cisci_sp,isoc_cisci_sp20
83,urb_percep,acf_d_eq1,acf_d_lo1,isoc_iw_imp,iss_imp,iss_11sbbar,lfso_04ownmisco,inn_cis7_sucmet,rail_tf_ns20_fr,rail_tf_ns10_fr
84,sdg_16_20,hlth_cd_yinfo,crim_off_cat,ilc_mddw06,ilc_mddw03,hlth_cd_yperrto,sdg_05_10,hlth_dhc130,hlth_cd_aro,hlth_cd_aperro
85,isoc_cisci_prv,fats_g1b_08,fats_ctrl,isoc_cisci_sp20,isoc_ciegi_pb22,isoc_cisci_sp,isoc_sk_edic_i21,isoc_cisci_prv20,isoc_ciegi_rtx,cens_01nsres
86,sbs_sc_ovw,sbs_na_2a_dfdn,isoc_sk_cskl_i,prc_hicp_cmon,prc_hicp_cind,prc_hicp_cann,prc_hicp_fp,prc_hicp_manr,prc_hicp_mmor,prc_hicp_midx
87,isoc_iw_imp,mar_go_qm_cy,mar_go_qm_si,mar_go_qm_ro,mar_go_qm_bg,mar_go_qm_hr,mar_go_qm_mt,mar_go_qm_lt,mar_go_qm_pt,mar_go_qm_be
88,urb_percep,isoc_ec_inb21,isoc_cisce_ran2,isoc_iw_hem,isoc_ciwebn2,isoc_ciegi_rtx,isoc_eb_ain2,isoc_ci_ifp_fu,isoc_ci_cfp_fu,isoc_ci_ifp_fu$dv_281
89,gov_10q_ggnfa,isoc_ciegi_rtx,isoc_cisci_sp,isoc_cisci_prv,isoc_cisci_sp20,isoc_cisci_prv20,isoc_sk_edic_i21,isoc_ciegi_pb22,isoc_eco_ic,isoc_ec_ibuy
90,isoc_cisci_prv,isoc_cisci_sp20,isoc_cisci_prv20,isoc_ciegi_rtx,fats_g1b_08,cens_01nsres,isoc_iw_ap,isoc_cisci_sp,mar_go_am_el,mar_go_am_si
91,sbs_na_4a_co,med_ps24,edat_lfso_00t2,educ_regind,educ_itertp,educ_iteach,urb_ceduc,earn_ses_agt16,demo_r_pjanind3,earn_ses06_16
92,educ_uoe_enrs10,ipr_ta_cl,isoc_ciwebn2,educ_uoe_enrt03,educ_uoe_enra03,educ_uoe_mobs01,educ_uoe_grad02,bs_bs8ace_r2,educ_uoe_grad10,educ_uoe_enrt04
93,gba_nabsfin92,iww_go_atyca,hlth_cd_yinfo,hlth_cd_yinfr,apro_cpnhr_h,isoc_eb_ain2,inn_cis6_prod,inn_cis9_noin,inn_cis7_prod,inn_cis9_ecodr
94,isoc_ciegi_ac,fobs_bra,fobs_gen,fobs_age,fobs_edu,isoc_ciegi_rtx,isoc_ciegi_rtx$dv_516,bop_c6_q,migr_eilpop,ei_bsco_m
95,fats_g1b_rd,naidq_10_gdp,naida_10_gdp,egi_va2,gov_10a_taxag,naidsq_10_nf_tr,nasq_10_nf_tr,fats_ctrl,fats_g1b_03,inn_c1012
96,migr_eirfs,road_go_ta_nace,urb_percep,avia_paexac,tour_occ_nin2dc,tour_occ_ninatdc,tour_occ_arm,tour_occ_nim,tour_occ_nin2,tour_occ_nin3
97,isoc_cisci_prv,inn_cis6_prod,fats_g1a_08,nrg_ind_market,env_air_emis,spr_exp_fdi,dsb_sprex03,dsb_sprex01,dsb_sprex02,isoc_cisci_sp
98,iss_11sbbar,urb_percep,gba_nabsfin92,inn_cis7_sucmet,prc_hicp_cind,prc_hicp_cann,prc_hicp_cmon,prc_hicp_manr,prc_hicp_mmor,prc_hicp_midx
99,isoc_sk_edic_i21,isoc_cisci_sp,isoc_ciegi_rtx,isoc_cisci_prv,isoc_cisci_prv20,isoc_ciegi_pb22,isoc_cisci_sp20,inn_cis9_prod,inn_cis8_prod,fats_ctrl
